480, -133, -688
671, -255, -466
687, -215, 52
417, 7, 97
417, 7, 97
-100, 503, 539
1552, 827, 1986
1869, 90, 1998
-,-,-
-374, -202, 419
-357, -164, 238
-230, 4, -42
-230, 4, -42
-103, 244, -327
-58, 270, -552
-122, 234, -713
-503, 223, -1168
-91, 161, -814
386, 233, -471
161, 111, -420
161, 111, -420
47, -75, -308
435, -44, 218
451, 2, 470
334, -182, 949
853, 9, 1871
853, 9, 1871
1027, 221, 1998
956, -111, 1998
929, -135, 1998
-,-,-
-413, -232, 462
-473, -231, 360
-439, -247, 259
-351, -156, 41
-351, -156, 41
-284, -103, -146
-354, 122, -495
-228, 195, -712
-123, 118, -874
0, 137, -980
197, 150, -980
453, 141, -697
768, 406, -110
768, 406, -110
381, 107, 321
281, 67, 606
1064, -64, 1645
1657, -129, 1998
1247, -92, 1998
572, -175, 1998
-,-,-
-240, -133, 202
-248, -95, -128
-241, 91, -333
-243, 263, -465
-218, 388, -713
-536, 269, -1267
-318, 277, -1211
216, 242, -1001
688, 82, -450
507, -103, -23
182, -178, 398
182, -178, 398
1364, -252, 1774
1306, -553, 1998
857, -654, 1998
685, -277, 1998
670, -169, 1998
245, -573, 1998
333, 64, 1998
346, 550, 1998
258, 158, 1998
404, -77, 1998
-,-,-
-205, -40, 490
-207, -24, 384
-303, -5, 152
-311, -91, -85
-440, -41, -362
-422, -19, -593
-117, -66, -660
242, 108, -479
242, 108, -479
306, 272, -440
582, 300, -264
533, 133, 133
533, 37, 338
717, 223, 860
909, -5, 1152
909, -5, 1152
908, -48, 1621
988, -194, 1998
620, -293, 1998
-,-,-
-403, -155, 486
-384, -180, 479
-375, -195, 442
-425, -151, 334
-361, -123, 257
-344, -62, 256
-345, -43, 196
-265, -28, 173
-108, 35, 244
-173, -42, 224
-173, -42, 224
-384, -87, -19
-227, 24, 133
-56, 37, 262
-131, -59, 127
27, -97, 48
27, -97, 48
202, -41, 216
89, 62, 121
370, 159, 234
370, 159, 234
727, 21, 370
617, -14, 217
721, 14, 401
791, -172, 673
791, -172, 673
643, -22, 1089
974, 511, 1989
1011, 658, 1998
977, -129, 1998
-,-,-
-185, -220, 716
-281, -258, 460
-275, -125, 368
-121, -16, 230
-52, -93, -7
24, -61, -127
-220, 119, -380
14, 295, -404
14, 295, -404
173, 161, -262
363, 165, -90
555, 153, -23
760, 69, 247
314, -58, 28
314, -58, 28
453, -136, 258
715, -41, 1147
993, 79, 1996
249, -61, 1998
-191, -476, 1998
213, -69, 1998
-,-,-
-317, -145, 531
-325, -151, 492
-299, -94, 285
-261, -6, 239
-261, -6, 239
-354, -34, 85
-403, -30, -166
-274, 78, -374
-186, 248, -494
-81, 232, -521
262, 221, -434
351, 87, -410
351, 87, -410
540, -158, -421
385, -212, -213
-4, 52, -388
355, -1, 216
675, 80, 1006
1078, 223, 1922
1078, 223, 1922
1102, 187, 1998
1072, -35, 1998
-,-,-
-366, -154, 629
-459, -176, 560
-430, -200, 564
-388, -162, 550
-385, -102, 560
-433, -143, 432
-346, -145, 358
-289, -19, 219
-289, -19, 219
-223, 79, 84
-224, 83, 10
-245, 29, -119
-185, 11, -187
-102, -120, -290
19, -105, -316
19, -105, -316
488, 84, -163
593, 138, -176
336, -33, -433
364, 11, -350
396, 266, -47
107, 341, 499
107, 341, 499
187, 510, 1269
703, 502, 1993
1002, 228, 1998
-,-,-
-379, -212, 658
-355, -219, 654
-426, -207, 556
-398, -248, 564
-361, -233, 576
-417, -163, 509
-320, -138, 504
-344, -195, 373
-520, -208, 183
-520, -208, 183
-330, -90, 177
-315, -22, 79
-289, 63, -71
-104, 184, -78
-86, 152, -268
13, 79, -319
13, 79, -319
66, 104, -321
305, 165, -205
307, -84, -215
407, -151, -198
322, 26, -261
246, 258, -174
246, 258, -174
406, 381, 581
482, 345, 1802
-,-,-
-368, -216, 397
-338, -258, 439
-255, -213, 527
-358, -178, 485
-382, -209, 437
-329, -212, 448
-364, -240, 426
-364, -240, 426
-320, -213, 332
-305, -170, 224
-407, -119, 11
-409, -49, -168
-300, 26, -246
-201, 39, -260
-271, -23, -365
-133, -21, -448
107, -7, -376
224, -14, -410
224, -14, -410
417, 31, -327
302, 102, -182
381, 105, -108
259, 17, 91
415, 194, 736
415, 194, 736
722, 468, 1571
937, 258, 1998
999, 179, 1998
-,-,-
-397, -152, 615
-488, -141, 544
-376, -169, 561
-302, -165, 408
-222, -107, 265
-240, -26, 72
-323, 42, -78
-323, 42, -78
-387, 72, -204
-356, 39, -285
-391, 108, -409
-123, 212, -441
130, 281, -435
280, 112, -351
633, 164, -369
633, 164, -369
737, 115, -52
296, 13, -151
192, 124, 217
818, 420, 1087
1073, 171, 1980
582, 125, 1998
582, 125, 1998
230, 421, 1998
-,-,-
-337, -187, 511
-303, -179, 519
-307, -184, 509
-312, -186, 523
-318, -167, 561
